id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,urls,mentions,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1228468353486008320,1228468353486008320,1581724653000,2020-02-15,00:57:33,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,Nice! https://twitter.com/chiefs/status/1228435344451940357 …,['https://twitter.com/chiefs/status/1228435344451940357'],[],[],3410,7690,42612,[],[],https://twitter.com/realDonaldTrump/status/1228468353486008320,False,https://twitter.com/Chiefs/status/1228435344451940357,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1228463577335554049,1228463577335554049,1581723515000,2020-02-15,00:38:35,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"Great honor, I think?  Mark Zuckerberg recently stated that “Donald J. Trump is Number 1 on Facebook. Number 2 is Prime Minister Modi of India.” Actually, I am going to India in two weeks. Looking forward to it!",[],[],[],14296,21738,113479,[],[],https://twitter.com/realDonaldTrump/status/1228463577335554049,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1228449937211392000,1228449937211392000,1581720263000,2020-02-14,23:44:23,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,".@LouieGohmertTX1 is a Fantastic Republican from the Great State of Texas! He fully supports our #MAGA and #KAG Agenda, Border WALL, Military, Vets, and your Second Amendment. Louie is my friend and has my Complete and Total Endorsement! http://secure.winred.com/gohmert ",['http://secure.winred.com/gohmert'],['louiegohmerttx1'],[],3342,9039,29078,"['#maga', '#kag']",[],https://twitter.com/realDonaldTrump/status/1228449937211392000,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '4827594804', 'username': 'LouieGohmertTX1'}]",,,,
1228449065148571651,1228449065148571651,1581720055000,2020-02-14,23:40:55,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"I look forward to attending the Daytona 500 on Sunday with lots of my great friends from Florida, including the France family and @RepMichaelWaltz from #FL6. See you there, good luck to everyone! @NASCAR @SenRickScott @marcorubio @GovRonDeSantis https://twitter.com/disupdates/status/1227991003426172928 …",['https://twitter.com/disupdates/status/1227991003426172928'],"['repmichaelwaltz', 'nascar', 'senrickscott', 'marcorubio', 'govrondesantis']",[],3806,9632,36494,['#fl6'],[],https://twitter.com/realDonaldTrump/status/1228449065148571651,False,https://twitter.com/DISupdates/status/1227991003426172928,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '1082416697380913152', 'username': 'RepMichaelWaltz'}, {'user_id': '49153854', 'username': 'NASCAR'}, {'user_id': '131546062', 'username': 'SenRickScott'}, {'user_id': '15745368', 'username': 'marcorubio'}, {'user_id': '1058807868', 'username': 'GovRonDeSantis'}]",,,,
1228446619500150784,1228446619500150784,1581719472000,2020-02-14,23:31:12,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"Thank you Arnold, very nice. https://twitter.com/schwarzenegger/status/1228112529215217665 …",['https://twitter.com/schwarzenegger/status/1228112529215217665'],[],[],1533,11304,51906,[],[],https://twitter.com/realDonaldTrump/status/1228446619500150784,False,https://twitter.com/Schwarzenegger/status/1228112529215217665,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1228446339207483393,1228446338091823106,1581719405000,2020-02-14,23:30:05,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"....Today, @FLOTUS and I encourage all Americans to cherish and honor the memory of those we have lost through acts of love and service. We will hold Parkland forever in our hearts.",[],['flotus'],[],2691,7506,35762,[],[],https://twitter.com/realDonaldTrump/status/1228446339207483393,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '818876014390603776', 'username': 'FLOTUS'}]",,,,
1228446338091823106,1228446338091823106,1581719405000,2020-02-14,23:30:05,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"It has been two years since the tragedy in Parkland. We will always mourn the innocent lives taken from us – 14 wonderful students and 3 terrific educators. Earlier this week, I met with families whose experiences from that horrible day still pierce the soul....",[],[],[],5376,12478,62622,[],[],https://twitter.com/realDonaldTrump/status/1228446338091823106,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1228442887081295873,1228442887081295873,1581718582000,2020-02-14,23:16:22,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,".@TomMcClintock is a strong Conservative Leader who will always fight for the people of California. He fully supports our #MAGA Agenda, will continue to Secure Our Border, Loves our Military & Vets, & is Strong on the #2A. Tom has my Complete Endorsement! http://secure.winred.com/McClintock ",['http://secure.winred.com/McClintock'],['tommcclintock'],[],1914,7343,24604,"['#maga', '#2a']",[],https://twitter.com/realDonaldTrump/status/1228442887081295873,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '15773898', 'username': 'tommcclintock'}]",,,,
1228439060106051589,1228439060106051589,1581717669000,2020-02-14,23:01:09,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,".@JodeyArrington from the Great State of Texas has been an incredible supporter of our #MAGA Agenda. Jodey fully supports Securing our Border w/ the WALL, he Loves our Military & Vets, and is Strong on the #2A. Jodey has my Complete and Total Endorsement! https://secure.winred.com/jodeyarrington ",['https://secure.winred.com/jodeyarrington'],['jodeyarrington'],[],1397,6880,22687,"['#maga', '#2a']",[],https://twitter.com/realDonaldTrump/status/1228439060106051589,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '3609064098', 'username': 'JodeyArrington'}]",,,,
1228438881969885184,1228438881969885184,1581717627000,2020-02-14,23:00:27,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,".@MoInTheHouse Brooks is running for Congress in the Great State of Alabama. He is a huge supporter of the #MAGA Agenda. Mo fully supports Securing our Border w/the WALL, he Loves our Military & Vets, & is Strong on the #2A. Mo has my Complete Endorsement! https://secure.winred.com/mobrooks/donate ",['https://secure.winred.com/mobrooks/donate'],['mointhehouse'],[],1093,6134,20122,"['#maga', '#2a']",[],https://twitter.com/realDonaldTrump/status/1228438881969885184,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '68277792', 'username': 'MoInTheHouse'}]",,,,
1228438298584141826,1228438298584141826,1581717488000,2020-02-14,22:58:08,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"“The Greatest name in politics,” Patrick @McHenryCampaign from the Great State of North Carolina, is a Conservative Fighter and a true Leader who ALWAYS supports our #MAGA Agenda. Patrick has my Complete and Total Endorsement! https://secure.winred.com/mchenry-for-congress/donate …",['https://secure.winred.com/mchenry-for-congress/donate'],['mchenrycampaign'],[],1142,6181,20527,['#maga'],[],https://twitter.com/realDonaldTrump/status/1228438298584141826,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '481437062', 'username': 'McHenryCampaign'}]",,,,
1228418892663488517,1228418892663488517,1581712861000,2020-02-14,21:41:01,W. Europe Standard Time,25073877,realdonaldtrump,Donald J. Trump,,Thank you to the beautiful country of Cambodia for accepting the @CarnivalCruise ship Westerdam into your port. The United States will remember your courtesy! @MickyArison,[],"['carnivalcruise', 'mickyarison']",[],3569,12055,55415,[],[],https://twitter.com/realDonaldTrump/status/1228418892663488517,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '6329632', 'username': 'CarnivalCruise'}, {'user_id': '352510937', 'username': 'MickyArison'}]",,,,
