,tweets,label
0,Evaluate tweets based on textual information given in the tweet. (i.e. Don't look up hyperlinks). If tweet To categorise tweets use the given definitions,
1," â [ Hate ]: Direct  target  can  be  a  person  but  the  context  of  thehate speech entails a group. The hate is directed towards theidentity of this group based on these attributes; race, ethnicity,national  origin,  sexual  orientation,  gender,  gender  identity,religious  affiliation,  age,  disability,  or  handicap.  ",
2," -- [ Hate ]: It  does NOT have to incite or promote further (actions) hate. It can be just a  statement  that contains hate speech. (inclusion  of  hate  on anti-hate groups(anti Black Lives Matter etc.) or appraisal ofhateful groups (KKK, Westboro, etc))",
3," -- [ Offensive ]: Generally strong (foul) language directed at others that can be interpreted as offensive. Hate is (generally) offensive, but offensive language is only hatespeech if it fits the above categorisation. ",
4," -- [ Offensive ]: To categorize offensive language, label it as what you imagine being interpreted as offensive, not what is offensive specifically to you.",
5,-- [ None ]: Absence of the above mentioned categories.,
6,,
7,Tweets,
8,I just sent a note to Twitter to clarify that posting SpaceX videos is fine by us and we paid for rights to Bowie song for the Falcon Heavy launch,
9,1 in 4 children under five in South Africa are stunted. The @GrowGreatZA Campaign is empowering new and pregnant moms to keep their children healthy. Hereâs why Iâm optimistic that they can make an impact:  https://gatesnot.es/2T0Q9wzÂ  pic.twitter.com/PLGOXZILW5,none
10,#NAAM?,hate
11,"Yet the Alt-Right trolls want to make this the âfree speechâ hill to die on. Or they think that associating with Ali & co. is some great win. 

And people wonder why the Alt-Right is going nowhere.",none
12,#NAAM?,none
13,#StopJettandJahn Yall are a bunch of racemixers that can only watch the jew tube,hate
14,"Iâm excited to team up with @rogerfederer again for the Match in Africa Friday in Cape Town. Playing alongside Roger is always a thrill, and I canât wait to face off against @RafaelNadal and @Trevornoah. pic.twitter.com/WMlbBtZwVC",none
15,CALLING ALL THOSE WHO SUPPORT THE RISE OF BLACK MEN ALL OVER THE EARTH  https://www.instagram.com/p/Bcs8EdDhX5O/Â ,none
16,"The competitor should be a drone fighter plane thatâs remote controlled by a human, but with its maneuvers augmented by autonomy. The F-35 would have no chance against it.",none
17,Envelope expanded https://twitter.com/spacex/status/1236154652447535104Â â¦,none
18,Riots in Paris continue as protests decry police rape and abuse of black man  https://www.rt.com/in-motion/376788-paris-police-rape-protests/#.WJy9sQ6f_Jc.twitterÂ â¦,none
19,"No matter what, we need to pressurize the production system. Rocket design is relatively easy, making one is hard, making many is extremely hard. Manufacturing is underrated.",none
20,@unforgivenjw follow my young boys  http://jettandjahn.com??,none
21,"@aaronburnsred Unlike your three year old sister, I don't have an older brother that constantly sexually assaults me.",offensive
22,Here is the 9th Circuit court of appeals opinion restraining Trump    https://d3bsvxk93brmko.cloudfront.net/datastore/opinions/2017/02/09/17-35105.pdfÂ â¦,none
23,"Fatality rate also greatly overstated. Because there are so few test kits, those who die with respiratory symptoms are tested for C19, but those with minor symptoms are usually not. Prevalence of coronaviruses & other colds in general population is very high!",none
24,"Happy birthday to one of my heroes â someone who believed our right to vote was more important than his own life. Thanks for making good trouble for 80 years, @repjohnlewis. pic.twitter.com/LqMuvmpbLp",none
25,Dr Duke & Dr Slattery â The Zio Takedown of Bernie and the Raising of Politically Dead JoeÂ Biden!  https://davidduke.com/wednesday200304/Â â¦ pic.twitter.com/VJJHuhQc5D,none
26,Proud of the program we have in India to hire and train deaf associates at our delivery stations. Managers learn basic sign language to be able to communicate. Meeting this group was a moving experience for me. pic.twitter.com/gGm0dvCjkX,none
27,"If the Egyptian guys would have just punched his asshole, he would have thought it was just another weekday in Greenwich Village.",hate
28,"Dr Duke & Eric Striker on the Zio Troika Family Feud of Bloomberg, Steyer & Sanders! & Charlottesville Judge OfficeÂ Hypocrisy!  https://davidduke.com/thursday200227/Â  pic.twitter.com/ZVJdncE0Db",none
29,"@EXSETERASoh Well, I just listened to your shitty band, and want to rip your vocal chords out, so I guess we're even.",offensive
30,"If you get touched by a midget, there's a 50% chance you ""catch it"".  FACT!",hate
